City,State,Year 2017,Year 2018
New York city, New York,8438271,8398748
Los Angeles city, California,3982002,3990456
Chicago city, Illinois,2713067,2705994
Houston city, Texas,2317445,2325502
Phoenix city, Arizona,1634984,1660272
Philadelphia city, Pennsylvania,1580221,1584138
San Antonio city, Texas,1511409,1532233
San Diego city, California,1414427,1425976
Dallas city, Texas,1343087,1345047
San Jose city, California,1032136,1030119
Austin city, Texas,951750,964254
Jacksonville city, Florida,891736,903889
Fort Worth city, Texas,875456,895008
Columbus city, Ohio,881763,892533
San Francisco city, California,879166,883305
Charlotte city, North Carolina,859347,872498
Indianapolis city (balance), Indiana,861890,867125
Seattle city, Washington,729601,744955
Denver city, Colorado,705439,716492
Washington city, District of Columbia,695691,702455
Boston city, Massachusetts,688276,694583
El Paso city, Texas,682938,682669
Detroit city, Michigan,674188,672662
Nashville-Davidson metropolitan government (balance), Tennessee,665396,669053
Portland city, Oregon,648630,653115
Memphis city, Tennessee,651562,650618
Oklahoma City city, Oklahoma,643337,649021
Las Vegas city, Nevada,635628,644644
Louisville/Jefferson County metro government (balance), Kentucky,619848,620118
Baltimore city, Maryland,609841,602495
Milwaukee city, Wisconsin,593905,592025
Albuquerque city, New Mexico,560111,560218
Tucson city, Arizona,541779,545975
Fresno city, California,526037,530093
Mesa city, Arizona,500395,508958
Sacramento city, California,500944,508529
Atlanta city, Georgia,491763,498044
Kansas City city, Missouri,488266,491918
Colorado Springs city, Colorado,465160,472688
Miami city, Florida,462030,470914
Raleigh city, North Carolina,465524,469298
Omaha city, Nebraska,466774,468262
Long Beach city, California,467367,467354
Virginia Beach city, Virginia,449962,450189
Oakland city, California,423869,429082
Minneapolis city, Minnesota,421072,425403
Tulsa city, Oklahoma,402119,400669
Arlington city, Texas,397105,398112
Tampa city, Florida,386577,392890
New Orleans city, Louisiana,391538,391006
Wichita city, Kansas,390307,389255
Cleveland city, Ohio,385428,383793
Bakersfield city, California,379171,383579
Aurora city, Colorado,367255,374114
Anaheim city, California,351301,352005
Urban Honolulu CDP, Hawaii,349651,347397
Santa Ana city, California,333007,332725
Riverside city, California,326988,330063
Corpus Christi city, Texas,325373,326554
Lexington-Fayette urban county, Kentucky,322193,323780
Stockton city, California,309316,311178
Henderson city, Nevada,299631,310390
St. Paul city, Minnesota,305255,307695
St. Louis city, Missouri,307866,302838
Cincinnati city, Ohio,301648,302605
Pittsburgh city, Pennsylvania,301720,301048
Greensboro city, North Carolina,292209,294722
Anchorage municipality, Alaska,294264,291538
Plano city, Texas,286815,288061
Lincoln city, Nebraska,284506,287401
Orlando city, Florida,281143,285713
Irvine city, California,276413,282572
Newark city, New Jersey,281014,282090
Toledo city, Ohio,276618,274975
Durham city, North Carolina,269578,274291
Chula Vista city, California,269429,271651
Fort Wayne city, Indiana,265455,267633
Jersey City city, New Jersey,263401,265549
St. Petersburg city, Florida,262928,265098
Laredo city, Texas,259634,261639
Madison city, Wisconsin,255473,258054
Chandler city, Arizona,253600,257165
Buffalo city, New York,256430,256304
Lubbock city, Texas,253555,255885
Scottsdale city, Arizona,251556,255310
Reno city, Nevada,247106,250998
Glendale city, Arizona,247899,250702
Gilbert town, Arizona,242465,248279
Winston-Salem city, North Carolina,244373,246328
North Las Vegas city, Nevada,240681,245949
Norfolk city, Virginia,244922,244076
Chesapeake city, Virginia,240327,242634
Garland city, Texas,238560,242507
Irving city, Texas,240834,242242
Hialeah city, Florida,239019,238942
Fremont city, California,234237,237807
Boise City city, Idaho,227621,228790
Richmond city, Virginia,226968,228783
Baton Rouge city, Louisiana,223948,221599
Spokane city, Washington,217028,219190
Des Moines city, Iowa,217006,216853
Tacoma city, Washington,213430,216279
San Bernardino city, California,216296,215941
Modesto city, California,213198,215030
Fontana city, California,211388,213739
Santa Clarita city, California,209895,210089
Birmingham city, Alabama,210966,209880
Oxnard city, California,209173,209877
Fayetteville city, North Carolina,209215,209468
Moreno Valley city, California,206713,209050
Rochester city, New York,206483,206284
Glendale city, California,202146,201361
Huntington Beach city, California,201191,200641
Salt Lake City city, Utah,200570,200591
Grand Rapids city, Michigan,199082,200217
Amarillo city, Texas,199919,199924
Yonkers city, New York,199762,199663
Aurora city, Illinois,200579,199602
Montgomery city, Alabama,199892,198218
