Category: All categories

Week,chipotle: (United States)
2014-09-28,48
2014-10-05,48
2014-10-12,47
2014-10-19,50
2014-10-26,65
2014-11-02,49
2014-11-09,48
2014-11-16,52
2014-11-23,46
2014-11-30,46
2014-12-07,48
2014-12-14,50
2014-12-21,52
2014-12-28,61
2015-01-04,53
2015-01-11,62
2015-01-18,55
2015-01-25,73
2015-02-01,51
2015-02-08,53
2015-02-15,52
2015-02-22,50
2015-03-01,49
2015-03-08,49
2015-03-15,48
2015-03-22,48
2015-03-29,50
2015-04-05,53
2015-04-12,56
2015-04-19,71
2015-04-26,68
2015-05-03,73
2015-05-10,57
2015-05-17,57
2015-05-24,56
2015-05-31,57
2015-06-07,58
2015-06-14,57
2015-06-21,60
2015-06-28,62
2015-07-05,61
2015-07-12,63
2015-07-19,84
2015-07-26,73
2015-08-02,69
2015-08-09,70
2015-08-16,73
2015-08-23,66
2015-08-30,60
2015-09-06,62
2015-09-13,57
2015-09-20,57
2015-09-27,54
2015-10-04,53
2015-10-11,53
2015-10-18,53
2015-10-25,62
2015-11-01,96
2015-11-08,60
2015-11-15,54
2015-11-22,50
2015-11-29,51
2015-12-06,69
2015-12-13,50
2015-12-20,56
2015-12-27,53
2016-01-03,57
2016-01-10,67
2016-01-17,53
2016-01-24,44
2016-01-31,48
2016-02-07,100
2016-02-14,53
2016-02-21,53
2016-02-28,43
2016-03-06,51
2016-03-13,51
2016-03-20,53
2016-03-27,51
2016-04-03,47
2016-04-10,47
2016-04-17,45
2016-04-24,50
2016-05-01,57
2016-05-08,44
2016-05-15,49
2016-05-22,48
2016-05-29,49
2016-06-05,52
2016-06-12,45
2016-06-19,45
2016-06-26,57
2016-07-03,58
2016-07-10,53
2016-07-17,55
2016-07-24,53
2016-07-31,50
2016-08-07,45
2016-08-14,44
2016-08-21,47
2016-08-28,50
2016-09-04,51
2016-09-11,47
2016-09-18,46
2016-09-25,47
2016-10-02,44
2016-10-09,58
2016-10-16,54
2016-10-23,55
2016-10-30,65
2016-11-06,48
2016-11-13,44
2016-11-20,43
2016-11-27,43
2016-12-04,41
2016-12-11,39
2016-12-18,43
2016-12-25,46
2017-01-01,51
2017-01-08,46
2017-01-15,44
2017-01-22,46
2017-01-29,48
2017-02-05,43
2017-02-12,44
2017-02-19,46
2017-02-26,46
2017-03-05,45
2017-03-12,47
2017-03-19,47
2017-03-26,49
2017-04-02,53
2017-04-09,49
2017-04-16,51
2017-04-23,54
2017-04-30,67
2017-05-07,48
2017-05-14,47
2017-05-21,48
2017-05-28,55
2017-06-04,51
2017-06-11,59
2017-06-18,51
2017-06-25,52
2017-07-02,53
2017-07-09,56
2017-07-16,71
2017-07-23,63
2017-07-30,54
2017-08-06,52
2017-08-13,50
2017-08-20,48
2017-08-27,51
2017-09-03,46
2017-09-10,54
2017-09-17,49
2017-09-24,47
2017-10-01,47
2017-10-08,45
2017-10-15,46
2017-10-22,47
2017-10-29,61
2017-11-05,47
2017-11-12,43
2017-11-19,39
2017-11-26,42
2017-12-03,42
2017-12-10,42
2017-12-17,44
2017-12-24,45
2017-12-31,48
2018-01-07,43
2018-01-14,43
2018-01-21,45
2018-01-28,45
2018-02-04,43
2018-02-11,46
2018-02-18,45
2018-02-25,48
2018-03-04,45
2018-03-11,45
2018-03-18,45
2018-03-25,45
2018-04-01,51
2018-04-08,47
2018-04-15,47
2018-04-22,53
2018-04-29,53
2018-05-06,61
2018-05-13,49
2018-05-20,50
2018-05-27,50
2018-06-03,56
2018-06-10,51
2018-06-17,49
2018-06-24,53
2018-07-01,52
2018-07-08,51
2018-07-15,51
2018-07-22,51
2018-07-29,70
2018-08-05,52
2018-08-12,57
2018-08-19,50
2018-08-26,46
2018-09-02,47
2018-09-09,45
2018-09-16,45
2018-09-23,48
2018-09-30,50
2018-10-07,49
2018-10-14,49
2018-10-21,48
2018-10-28,66
2018-11-04,48
2018-11-11,50
2018-11-18,50
2018-11-25,47
2018-12-02,47
2018-12-09,46
2018-12-16,49
2018-12-23,55
2018-12-30,70
2019-01-06,58
2019-01-13,53
2019-01-20,53
2019-01-27,51
2019-02-03,54
2019-02-10,52
2019-02-17,54
2019-02-24,53
2019-03-03,52
2019-03-10,53
2019-03-17,54
2019-03-24,57
2019-03-31,66
2019-04-07,56
2019-04-14,56
2019-04-21,60
2019-04-28,59
2019-05-05,66
2019-05-12,54
2019-05-19,56
2019-05-26,57
2019-06-02,69
2019-06-09,58
2019-06-16,55
2019-06-23,59
2019-06-30,57
2019-07-07,56
2019-07-14,57
2019-07-21,58
2019-07-28,64
2019-08-04,60
2019-08-11,53
2019-08-18,52
2019-08-25,49
2019-09-01,50
2019-09-08,50
2019-09-15,53
2019-09-22,62
