Category: All categories

Week,Five Guys: (United States)
2014-09-28,57
2014-10-05,61
2014-10-12,60
2014-10-19,59
2014-10-26,61
2014-11-02,58
2014-11-09,60
2014-11-16,59
2014-11-23,58
2014-11-30,56
2014-12-07,60
2014-12-14,61
2014-12-21,72
2014-12-28,85
2015-01-04,56
2015-01-11,62
2015-01-18,63
2015-01-25,63
2015-02-01,63
2015-02-08,65
2015-02-15,65
2015-02-22,63
2015-03-01,61
2015-03-08,64
2015-03-15,68
2015-03-22,64
2015-03-29,67
2015-04-05,67
2015-04-12,62
2015-04-19,62
2015-04-26,63
2015-05-03,62
2015-05-10,62
2015-05-17,66
2015-05-24,72
2015-05-31,68
2015-06-07,67
2015-06-14,70
2015-06-21,71
2015-06-28,78
2015-07-05,67
2015-07-12,71
2015-07-19,74
2015-07-26,69
2015-08-02,69
2015-08-09,70
2015-08-16,66
2015-08-23,66
2015-08-30,63
2015-09-06,66
2015-09-13,63
2015-09-20,61
2015-09-27,58
2015-10-04,68
2015-10-11,61
2015-10-18,61
2015-10-25,57
2015-11-01,70
2015-11-08,61
2015-11-15,61
2015-11-22,58
2015-11-29,57
2015-12-06,59
2015-12-13,64
2015-12-20,71
2015-12-27,90
2016-01-03,68
2016-01-10,63
2016-01-17,62
2016-01-24,68
2016-01-31,65
2016-02-07,61
2016-02-14,71
2016-02-21,70
2016-02-28,67
2016-03-06,67
2016-03-13,69
2016-03-20,74
2016-03-27,77
2016-04-03,72
2016-04-10,81
2016-04-17,73
2016-04-24,70
2016-05-01,68
2016-05-08,72
2016-05-15,74
2016-05-22,72
2016-05-29,74
2016-06-05,72
2016-06-12,72
2016-06-19,75
2016-06-26,79
2016-07-03,79
2016-07-10,75
2016-07-17,73
2016-07-24,73
2016-07-31,72
2016-08-07,67
2016-08-14,66
2016-08-21,70
2016-08-28,65
2016-09-04,66
2016-09-11,62
2016-09-18,67
2016-09-25,65
2016-10-02,68
2016-10-09,70
2016-10-16,67
2016-10-23,67
2016-10-30,72
2016-11-06,68
2016-11-13,68
2016-11-20,65
2016-11-27,64
2016-12-04,66
2016-12-11,70
2016-12-18,75
2016-12-25,78
2017-01-01,74
2017-01-08,66
2017-01-15,73
2017-01-22,70
2017-01-29,72
2017-02-05,65
2017-02-12,69
2017-02-19,75
2017-02-26,72
2017-03-05,72
2017-03-12,76
2017-03-19,72
2017-03-26,73
2017-04-02,74
2017-04-09,74
2017-04-16,76
2017-04-23,73
2017-04-30,69
2017-05-07,73
2017-05-14,100
2017-05-21,89
2017-05-28,86
2017-06-04,81
2017-06-11,79
2017-06-18,79
2017-06-25,86
2017-07-02,86
2017-07-09,79
2017-07-16,82
2017-07-23,79
2017-07-30,80
2017-08-06,75
2017-08-13,75
2017-08-20,72
2017-08-27,70
2017-09-03,68
2017-09-10,68
2017-09-17,71
2017-09-24,66
2017-10-01,70
2017-10-08,67
2017-10-15,71
2017-10-22,67
2017-10-29,71
2017-11-05,69
2017-11-12,66
2017-11-19,68
2017-11-26,63
2017-12-03,68
2017-12-10,69
2017-12-17,75
2017-12-24,79
2017-12-31,76
2018-01-07,67
2018-01-14,71
2018-01-21,70
2018-01-28,73
2018-02-04,68
2018-02-11,76
2018-02-18,77
2018-02-25,76
2018-03-04,75
2018-03-11,79
2018-03-18,77
2018-03-25,83
2018-04-01,78
2018-04-08,72
2018-04-15,76
2018-04-22,75
2018-04-29,72
2018-05-06,75
2018-05-13,72
2018-05-20,80
2018-05-27,80
2018-06-03,79
2018-06-10,83
2018-06-17,83
2018-06-24,84
2018-07-01,91
2018-07-08,78
2018-07-15,82
2018-07-22,81
2018-07-29,80
2018-08-05,83
2018-08-12,76
2018-08-19,79
2018-08-26,75
2018-09-02,72
2018-09-09,70
2018-09-16,76
2018-09-23,72
2018-09-30,72
2018-10-07,73
2018-10-14,73
2018-10-21,74
2018-10-28,74
2018-11-04,71
2018-11-11,73
2018-11-18,72
2018-11-25,70
2018-12-02,74
2018-12-09,74
2018-12-16,80
2018-12-23,91
2018-12-30,91
2019-01-06,75
2019-01-13,75
2019-01-20,77
2019-01-27,72
2019-02-03,72
2019-02-10,87
2019-02-17,82
2019-02-24,83
2019-03-03,81
2019-03-10,83
2019-03-17,83
2019-03-24,85
2019-03-31,82
2019-04-07,80
2019-04-14,84
2019-04-21,85
2019-04-28,81
2019-05-05,81
2019-05-12,84
2019-05-19,85
2019-05-26,92
2019-06-02,80
2019-06-09,87
2019-06-16,84
2019-06-23,85
2019-06-30,91
2019-07-07,80
2019-07-14,87
2019-07-21,90
2019-07-28,90
2019-08-04,84
2019-08-11,80
2019-08-18,77
2019-08-25,75
2019-09-01,72
2019-09-08,71
2019-09-15,73
2019-09-22,92
