Category: All categories

Region,Panera bread: (9/26/14 - 9/26/19)
North Carolina,100
Oklahoma,91
Rhode Island,89
Connecticut,89
Delaware,88
Florida,85
New Jersey,82
Tennessee,81
Maryland,81
Pennsylvania,81
Georgia,79
Michigan,78
Alabama,76
District of Columbia,74
South Carolina,71
Colorado,66
Massachusetts,64
Virginia,64
Kentucky,64
Ohio,63
Missouri,63
Illinois,60
Indiana,58
West Virginia,54
New York,54
Texas,54
Wisconsin,51
New Hampshire,50
Nebraska,49
Arizona,49
North Dakota,45
Louisiana,44
California,43
Kansas,43
Nevada,42
Iowa,41
Arkansas,41
Vermont,40
Washington,39
New Mexico,38
Maine,38
South Dakota,38
Minnesota,37
Idaho,36
Mississippi,29
Oregon,25
Wyoming,14
Utah,10
Montana,10
Hawaii,8
Alaska,4
