Category: All categories

Region,shake shack: (9/26/14 - 9/26/19)
New York,100
District of Columbia,99
Nevada,69
New Jersey,49
Connecticut,46
Maryland,45
Delaware,43
Massachusetts,42
Illinois,37
California,30
Pennsylvania,29
Missouri,29
Florida,27
Rhode Island,26
Arizona,25
Virginia,24
Texas,22
Georgia,22
Colorado,20
Michigan,20
Washington,18
Utah,18
Ohio,17
Minnesota,16
North Carolina,15
Wisconsin,14
Tennessee,14
Kentucky,13
Kansas,12
Alabama,12
Louisiana,11
Hawaii,11
New Hampshire,10
New Mexico,9
Oklahoma,8
Indiana,8
Vermont,8
South Carolina,8
Arkansas,8
Maine,6
Oregon,6
Mississippi,5
Nebraska,5
Iowa,5
Idaho,5
West Virginia,4
Alaska,4
Wyoming,4
South Dakota,3
North Dakota,3
Montana,3
