Category: All categories

Week,shake shack: (United States)
2014-09-28,18
2014-10-05,14
2014-10-12,14
2014-10-19,13
2014-10-26,14
2014-11-02,23
2014-11-09,19
2014-11-16,16
2014-11-23,14
2014-11-30,12
2014-12-07,13
2014-12-14,14
2014-12-21,20
2014-12-28,47
2015-01-04,21
2015-01-11,17
2015-01-18,32
2015-01-25,100
2015-02-01,39
2015-02-08,24
2015-02-15,22
2015-02-22,23
2015-03-01,21
2015-03-08,25
2015-03-15,20
2015-03-22,21
2015-03-29,20
2015-04-05,21
2015-04-12,23
2015-04-19,24
2015-04-26,21
2015-05-03,27
2015-05-10,26
2015-05-17,34
2015-05-24,39
2015-05-31,23
2015-06-07,25
2015-06-14,23
2015-06-21,24
2015-06-28,24
2015-07-05,32
2015-07-12,26
2015-07-19,28
2015-07-26,29
2015-08-02,25
2015-08-09,34
2015-08-16,25
2015-08-23,22
2015-08-30,23
2015-09-06,20
2015-09-13,21
2015-09-20,18
2015-09-27,18
2015-10-04,19
2015-10-11,22
2015-10-18,18
2015-10-25,16
2015-11-01,18
2015-11-08,17
2015-11-15,18
2015-11-22,18
2015-11-29,15
2015-12-06,16
2015-12-13,17
2015-12-20,21
2015-12-27,26
2016-01-03,20
2016-01-10,24
2016-01-17,21
2016-01-24,23
2016-01-31,19
2016-02-07,18
2016-02-14,21
2016-02-21,21
2016-02-28,25
2016-03-06,30
2016-03-13,41
2016-03-20,33
2016-03-27,27
2016-04-03,29
2016-04-10,26
2016-04-17,26
2016-04-24,27
2016-05-01,23
2016-05-08,26
2016-05-15,25
2016-05-22,27
2016-05-29,32
2016-06-05,30
2016-06-12,28
2016-06-19,29
2016-06-26,27
2016-07-03,31
2016-07-10,28
2016-07-17,29
2016-07-24,29
2016-07-31,26
2016-08-07,28
2016-08-14,36
2016-08-21,38
2016-08-28,31
2016-09-04,27
2016-09-11,21
2016-09-18,25
2016-09-25,23
2016-10-02,21
2016-10-09,23
2016-10-16,24
2016-10-23,22
2016-10-30,23
2016-11-06,24
2016-11-13,23
2016-11-20,21
2016-11-27,19
2016-12-04,21
2016-12-11,21
2016-12-18,25
2016-12-25,30
2017-01-01,27
2017-01-08,23
2017-01-15,23
2017-01-22,32
2017-01-29,24
2017-02-05,22
2017-02-12,23
2017-02-19,34
2017-02-26,28
2017-03-05,28
2017-03-12,27
2017-03-19,27
2017-03-26,28
2017-04-02,27
2017-04-09,30
2017-04-16,26
2017-04-23,27
2017-04-30,26
2017-05-07,27
2017-05-14,31
2017-05-21,32
2017-05-28,31
2017-06-04,31
2017-06-11,30
2017-06-18,29
2017-06-25,32
2017-07-02,33
2017-07-09,31
2017-07-16,32
2017-07-23,34
2017-07-30,34
2017-08-06,36
2017-08-13,29
2017-08-20,30
2017-08-27,27
2017-09-03,23
2017-09-10,27
2017-09-17,30
2017-09-24,26
2017-10-01,26
2017-10-08,55
2017-10-15,30
2017-10-22,28
2017-10-29,27
2017-11-05,28
2017-11-12,26
2017-11-19,28
2017-11-26,26
2017-12-03,28
2017-12-10,34
2017-12-17,33
2017-12-24,36
2017-12-31,29
2018-01-07,26
2018-01-14,33
2018-01-21,27
2018-01-28,27
2018-02-04,31
2018-02-11,28
2018-02-18,31
2018-02-25,26
2018-03-04,29
2018-03-11,32
2018-03-18,36
2018-03-25,38
2018-04-01,35
2018-04-08,31
2018-04-15,34
2018-04-22,37
2018-04-29,36
2018-05-06,33
2018-05-13,32
2018-05-20,33
2018-05-27,34
2018-06-03,38
2018-06-10,40
2018-06-17,39
2018-06-24,39
2018-07-01,42
2018-07-08,36
2018-07-15,37
2018-07-22,36
2018-07-29,40
2018-08-05,38
2018-08-12,34
2018-08-19,36
2018-08-26,33
2018-09-02,35
2018-09-09,30
2018-09-16,35
2018-09-23,32
2018-09-30,32
2018-10-07,35
2018-10-14,48
2018-10-21,40
2018-10-28,36
2018-11-04,36
2018-11-11,50
2018-11-18,39
2018-11-25,33
2018-12-02,33
2018-12-09,37
2018-12-16,44
2018-12-23,51
2018-12-30,49
2019-01-06,38
2019-01-13,35
2019-01-20,36
2019-01-27,36
2019-02-03,33
2019-02-10,36
2019-02-17,40
2019-02-24,37
2019-03-03,37
2019-03-10,40
2019-03-17,44
2019-03-24,45
2019-03-31,43
2019-04-07,44
2019-04-14,45
2019-04-21,43
2019-04-28,40
2019-05-05,39
2019-05-12,43
2019-05-19,50
2019-05-26,49
2019-06-02,46
2019-06-09,45
2019-06-16,46
2019-06-23,47
2019-06-30,49
2019-07-07,43
2019-07-14,49
2019-07-21,49
2019-07-28,51
2019-08-04,53
2019-08-11,50
2019-08-18,52
2019-08-25,43
2019-09-01,41
2019-09-08,37
2019-09-15,37
2019-09-22,46
