Category: All categories

Week,taco bell: (United States)
2014-09-28,33
2014-10-05,33
2014-10-12,34
2014-10-19,35
2014-10-26,38
2014-11-02,34
2014-11-09,32
2014-11-16,32
2014-11-23,35
2014-11-30,33
2014-12-07,32
2014-12-14,33
2014-12-21,43
2014-12-28,49
2015-01-04,37
2015-01-11,36
2015-01-18,37
2015-01-25,35
2015-02-01,33
2015-02-08,34
2015-02-15,33
2015-02-22,33
2015-03-01,35
2015-03-08,37
2015-03-15,35
2015-03-22,37
2015-03-29,44
2015-04-05,45
2015-04-12,41
2015-04-19,41
2015-04-26,42
2015-05-03,53
2015-05-10,41
2015-05-17,42
2015-05-24,45
2015-05-31,50
2015-06-07,44
2015-06-14,44
2015-06-21,43
2015-06-28,47
2015-07-05,55
2015-07-12,51
2015-07-19,49
2015-07-26,48
2015-08-02,47
2015-08-09,48
2015-08-16,45
2015-08-23,44
2015-08-30,43
2015-09-06,41
2015-09-13,40
2015-09-20,41
2015-09-27,44
2015-10-04,44
2015-10-11,41
2015-10-18,41
2015-10-25,49
2015-11-01,62
2015-11-08,39
2015-11-15,39
2015-11-22,40
2015-11-29,38
2015-12-06,38
2015-12-13,38
2015-12-20,49
2015-12-27,51
2016-01-03,42
2016-01-10,40
2016-01-17,37
2016-01-24,38
2016-01-31,42
2016-02-07,48
2016-02-14,47
2016-02-21,43
2016-02-28,42
2016-03-06,41
2016-03-13,42
2016-03-20,46
2016-03-27,45
2016-04-03,43
2016-04-10,41
2016-04-17,45
2016-04-24,48
2016-05-01,52
2016-05-08,46
2016-05-15,51
2016-05-22,51
2016-05-29,55
2016-06-05,56
2016-06-12,54
2016-06-19,65
2016-06-26,56
2016-07-03,55
2016-07-10,54
2016-07-17,59
2016-07-24,60
2016-07-31,56
2016-08-07,50
2016-08-14,52
2016-08-21,50
2016-08-28,50
2016-09-04,48
2016-09-11,47
2016-09-18,47
2016-09-25,48
2016-10-02,50
2016-10-09,48
2016-10-16,47
2016-10-23,55
2016-10-30,71
2016-11-06,46
2016-11-13,50
2016-11-20,51
2016-11-27,48
2016-12-04,48
2016-12-11,43
2016-12-18,49
2016-12-25,66
2017-01-01,64
2017-01-08,55
2017-01-15,53
2017-01-22,55
2017-01-29,61
2017-02-05,54
2017-02-12,53
2017-02-19,54
2017-02-26,52
2017-03-05,52
2017-03-12,52
2017-03-19,52
2017-03-26,53
2017-04-02,51
2017-04-09,54
2017-04-16,53
2017-04-23,53
2017-04-30,57
2017-05-07,54
2017-05-14,60
2017-05-21,64
2017-05-28,59
2017-06-04,61
2017-06-11,70
2017-06-18,57
2017-06-25,68
2017-07-02,70
2017-07-09,63
2017-07-16,62
2017-07-23,62
2017-07-30,61
2017-08-06,59
2017-08-13,57
2017-08-20,53
2017-08-27,54
2017-09-03,54
2017-09-10,53
2017-09-17,56
2017-09-24,56
2017-10-01,61
2017-10-08,58
2017-10-15,56
2017-10-22,58
2017-10-29,64
2017-11-05,51
2017-11-12,51
2017-11-19,58
2017-11-26,54
2017-12-03,51
2017-12-10,49
2017-12-17,55
2017-12-24,71
2017-12-31,69
2018-01-07,58
2018-01-14,55
2018-01-21,75
2018-01-28,73
2018-02-04,58
2018-02-11,57
2018-02-18,59
2018-02-25,57
2018-03-04,54
2018-03-11,56
2018-03-18,59
2018-03-25,60
2018-04-01,63
2018-04-08,60
2018-04-15,61
2018-04-22,61
2018-04-29,63
2018-05-06,60
2018-05-13,59
2018-05-20,61
2018-05-27,63
2018-06-03,65
2018-06-10,73
2018-06-17,67
2018-06-24,72
2018-07-01,79
2018-07-08,74
2018-07-15,72
2018-07-22,73
2018-07-29,70
2018-08-05,66
2018-08-12,65
2018-08-19,67
2018-08-26,69
2018-09-02,65
2018-09-09,63
2018-09-16,67
2018-09-23,65
2018-09-30,71
2018-10-07,64
2018-10-14,63
2018-10-21,69
2018-10-28,75
2018-11-04,61
2018-11-11,61
2018-11-18,67
2018-11-25,66
2018-12-02,64
2018-12-09,62
2018-12-16,64
2018-12-23,85
2018-12-30,86
2019-01-06,72
2019-01-13,66
2019-01-20,67
2019-01-27,66
2019-02-03,65
2019-02-10,68
2019-02-17,74
2019-02-24,68
2019-03-03,72
2019-03-10,70
2019-03-17,69
2019-03-24,69
2019-03-31,70
2019-04-07,68
2019-04-14,72
2019-04-21,74
2019-04-28,74
2019-05-05,72
2019-05-12,84
2019-05-19,87
2019-05-26,87
2019-06-02,84
2019-06-09,83
2019-06-16,92
2019-06-23,87
2019-06-30,90
2019-07-07,83
2019-07-14,87
2019-07-21,87
2019-07-28,84
2019-08-04,81
2019-08-11,83
2019-08-18,79
2019-08-25,78
2019-09-01,74
2019-09-08,72
2019-09-15,77
2019-09-22,100
