Category: All categories

Region,texas roadhouse: (9/26/14 - 9/26/19)
Kentucky,100
Indiana,85
Utah,83
Delaware,80
Iowa,74
Ohio,73
Idaho,69
West Virginia,68
Nebraska,67
North Dakota,67
Louisiana,64
Missouri,63
Wyoming,63
Arizona,61
Colorado,61
South Dakota,60
Oklahoma,58
Kansas,56
Texas,56
New Mexico,55
Pennsylvania,54
Wisconsin,52
Rhode Island,52
Tennessee,51
Alaska,50
Maryland,50
South Carolina,49
North Carolina,47
Michigan,46
Arkansas,44
Illinois,41
New Hampshire,40
District of Columbia,38
Maine,38
Alabama,38
Florida,37
Virginia,36
Connecticut,36
Georgia,36
Massachusetts,35
Minnesota,29
Mississippi,27
Vermont,26
New York,24
New Jersey,23
Montana,22
Nevada,19
California,13
Washington,8
Oregon,8
Hawaii,3
