Category: All categories

Week,McDonald's: (United States)
2017-09-24,55
2017-10-01,75
2017-10-08,65
2017-10-15,57
2017-10-22,57
2017-10-29,55
2017-11-05,56
2017-11-12,57
2017-11-19,66
2017-11-26,54
2017-12-03,54
2017-12-10,52
2017-12-17,55
2017-12-24,87
2017-12-31,68
2018-01-07,59
2018-01-14,59
2018-01-21,57
2018-01-28,56
2018-02-04,55
2018-02-11,57
2018-02-18,58
2018-02-25,65
2018-03-04,64
2018-03-11,59
2018-03-18,57
2018-03-25,66
2018-04-01,61
2018-04-08,59
2018-04-15,59
2018-04-22,59
2018-04-29,59
2018-05-06,60
2018-05-13,61
2018-05-20,62
2018-05-27,66
2018-06-03,65
2018-06-10,66
2018-06-17,65
2018-06-24,67
2018-07-01,72
2018-07-08,68
2018-07-15,73
2018-07-22,82
2018-07-29,76
2018-08-05,71
2018-08-12,65
2018-08-19,64
2018-08-26,63
2018-09-02,62
2018-09-09,59
2018-09-16,61
2018-09-23,62
2018-09-30,65
2018-10-07,66
2018-10-14,64
2018-10-21,65
2018-10-28,64
2018-11-04,62
2018-11-11,60
2018-11-18,73
2018-11-25,59
2018-12-02,60
2018-12-09,59
2018-12-16,61
2018-12-23,100
2018-12-30,80
2019-01-06,60
2019-01-13,67
2019-01-20,60
2019-01-27,60
2019-02-03,61
2019-02-10,60
2019-02-17,63
2019-02-24,60
2019-03-03,62
2019-03-10,64
2019-03-17,65
2019-03-24,67
2019-03-31,65
2019-04-07,63
2019-04-14,64
2019-04-21,67
2019-04-28,66
2019-05-05,66
2019-05-12,67
2019-05-19,67
2019-05-26,72
2019-06-02,73
2019-06-09,78
2019-06-16,76
2019-06-23,83
2019-06-30,79
2019-07-07,74
2019-07-14,75
2019-07-21,76
2019-07-28,74
2019-08-04,69
2019-08-11,71
2019-08-18,67
2019-08-25,66
2019-09-01,66
2019-09-08,61
2019-09-15,62
2019-09-22,63
