Category: All categories

Week,Shake Shack: (United States)
2017-09-24,46
2017-10-01,46
2017-10-08,100
2017-10-15,60
2017-10-22,53
2017-10-29,51
2017-11-05,52
2017-11-12,48
2017-11-19,49
2017-11-26,50
2017-12-03,53
2017-12-10,64
2017-12-17,63
2017-12-24,67
2017-12-31,56
2018-01-07,50
2018-01-14,58
2018-01-21,48
2018-01-28,51
2018-02-04,57
2018-02-11,53
2018-02-18,59
2018-02-25,51
2018-03-04,54
2018-03-11,58
2018-03-18,65
2018-03-25,71
2018-04-01,65
2018-04-08,56
2018-04-15,65
2018-04-22,69
2018-04-29,69
2018-05-06,59
2018-05-13,60
2018-05-20,63
2018-05-27,64
2018-06-03,71
2018-06-10,74
2018-06-17,71
2018-06-24,72
2018-07-01,81
2018-07-08,68
2018-07-15,70
2018-07-22,69
2018-07-29,75
2018-08-05,72
2018-08-12,65
2018-08-19,68
2018-08-26,65
2018-09-02,65
2018-09-09,55
2018-09-16,63
2018-09-23,57
2018-09-30,60
2018-10-07,65
2018-10-14,92
2018-10-21,74
2018-10-28,62
2018-11-04,64
2018-11-11,91
2018-11-18,72
2018-11-25,60
2018-12-02,62
2018-12-09,69
2018-12-16,82
2018-12-23,97
2018-12-30,89
2019-01-06,73
2019-01-13,68
2019-01-20,66
2019-01-27,69
2019-02-03,62
2019-02-10,68
2019-02-17,73
2019-02-24,66
2019-03-03,66
2019-03-10,74
2019-03-17,83
2019-03-24,86
2019-03-31,77
2019-04-07,82
2019-04-14,81
2019-04-21,76
2019-04-28,79
2019-05-05,76
2019-05-12,78
2019-05-19,91
2019-05-26,90
2019-06-02,88
2019-06-09,89
2019-06-16,86
2019-06-23,89
2019-06-30,93
2019-07-07,82
2019-07-14,91
2019-07-21,90
2019-07-28,97
2019-08-04,98
2019-08-11,87
2019-08-18,94
2019-08-25,82
2019-09-01,75
2019-09-08,67
2019-09-15,67
2019-09-22,65
