,County,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income,Pop Growth,Income Growth,Pop Growth %,Income Growth %
1,"Baldwin County, Alabama",183226,50706,203360,52562,20134,1856,9.900668764752165,3.6603163333727764
36,"Jefferson County, Alabama",658464,45415,659460,49321,996,3906,0.15103266308798108,8.600682593856655
44,"Madison County, Alabama",334661,58242,353213,61318,18552,3076,5.252354811402752,5.281412039421723
70,"Weld County, Colorado",253552,56589,285729,66489,32177,9900,11.261370039442967,17.494566081747337
72,"Fairfield County, Connecticut",918892,82614,947328,89773,28436,7159,3.001705850560735,8.66560147190549
73,"Hartford County, Connecticut",893504,64752,897417,69936,3913,5184,0.4360291815287653,8.005930318754633
76,"New Haven County, Connecticut",860995,62234,862127,64872,1132,2638,0.1313031606712236,4.238840505190089
77,"New London County, Connecticut",273723,68310,270772,69411,-2951,1101,-1.0898468083849142,1.6117698726394378
81,"New Castle County, Delaware",539665,64670,555036,68336,15371,3666,2.769369914744269,5.668779959795887
82,"Sussex County, Delaware",197681,52692,215551,57901,17870,5209,8.29038139465834,9.885751157670994
83,"District of Columbia, District of Columbia",605759,64267,672391,77649,66632,13382,9.90971027274309,20.822506107333467
84,"Alachua County, Florida",247973,42818,259865,45478,11892,2660,4.57622226925519,6.212340604418702
88,"Brevard County, Florida",544019,49099,568183,51536,24164,2437,4.25285515406128,4.963441210615287
89,"Broward County, Florida",1761993,51603,1890416,54895,128423,3292,6.79337246405024,6.379474061585566
93,"Clay County, Florida",190891,59649,203291,61971,12400,2322,6.099630578825428,3.8927727204144245
94,"Collier County, Florida",323548,56104,356774,62407,33226,6303,9.312898361427683,11.234493084272067
98,"Duval County, Florida",866431,48906,912043,51296,45612,2390,5.00107999293893,4.886925939557518
99,"Escambia County, Florida",298864,43806,309924,47361,11060,3555,3.568616822188666,8.115326667579783
111,"Hillsborough County, Florida",1238365,49450,1351087,53742,112722,4292,8.343060069410777,8.679474216380182
117,"Lake County, Florida",297995,45663,326215,49734,28220,4071,8.65073647747651,8.915314368306944
118,"Lee County, Florida",624155,48453,700165,52052,76010,3599,10.856012511336614,7.4278166470600375
119,"Leon County, Florida",276506,45915,285890,49941,9384,4026,3.2823813354786804,8.768376347598823
123,"Manatee County, Florida",324834,47910,363542,53408,38708,5498,10.647463016652821,11.47568357336673
124,"Marion County, Florida",331987,39770,343778,41964,11791,2194,3.4298297156886126,5.51672114659291
126,"Miami-Dade County, Florida",2512219,43464,2702602,46338,190383,2874,7.044433475591301,6.612368856985092
131,"Orange County, Florida",1153795,48429,1290216,51586,136421,3157,10.573500871171959,6.518821367362531
132,"Osceola County, Florida",272355,44887,325168,47343,52813,2456,16.24175810657875,5.471517365829751
133,"Palm Beach County, Florida",1324085,52806,1426772,57256,102687,4450,7.19715553711455,8.427072681134721
134,"Pasco County, Florida",465276,43787,498136,48289,32860,4502,6.5965920953313955,10.28159042638226
135,"Pinellas County, Florida",917389,46051,949842,48968,32453,2917,3.416673509910069,6.334281557403748
136,"Polk County, Florida",604562,43606,652256,45988,47694,2382,7.312159642839622,5.462551025088291
