,County,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
0,"Autauga County, Alabama",54590,53773,55036,55317
1,"Baldwin County, Alabama",183226,50706,203360,52562
2,"Barbour County, Alabama",27469,31889,26201,33368
3,"Bibb County, Alabama",22769,36824,22580,43404
4,"Blount County, Alabama",57466,45192,57667,47412
5,"Bullock County, Alabama",10779,34500,10478,29655
6,"Butler County, Alabama",20730,30752,20126,36326
7,"Calhoun County, Alabama",117834,40093,115527,43686
8,"Chambers County, Alabama",34228,32181,33895,37342
9,"Cherokee County, Alabama",25917,36241,25855,40041
10,"Chilton County, Alabama",43611,40834,43805,43501
11,"Choctaw County, Alabama",13838,35123,13188,32122
12,"Clarke County, Alabama",25768,30954,24625,33827
13,"Clay County, Alabama",13828,34556,13407,37287
14,"Cleburne County, Alabama",14905,37244,14939,37396
15,"Coffee County, Alabama",49966,44626,51073,49821
16,"Colbert County, Alabama",54451,40158,54435,45477
17,"Conecuh County, Alabama",13188,27064,12649,30434
18,"Coosa County, Alabama",11305,37425,10955,34792
19,"Covington County, Alabama",37803,35321,37519,39467
20,"Crenshaw County, Alabama",13971,37309,13866,38937
21,"Cullman County, Alabama",80403,39244,81703,40997
22,"Dale County, Alabama",50129,45247,49393,44711
23,"Dallas County, Alabama",43572,26178,40755,30065
24,"DeKalb County, Alabama",70949,36853,71194,38842
25,"Elmore County, Alabama",79330,55514,80989,54981
26,"Escambia County, Alabama",38122,31075,37621,35026
27,"Etowah County, Alabama",104317,37660,103132,42064
28,"Fayette County, Alabama",17219,33090,16657,36541
29,"Franklin County, Alabama",31664,37235,31507,39501
30,"Geneva County, Alabama",26769,33618,26572,39293
31,"Greene County, Alabama",9067,23777,8533,20954
32,"Hale County, Alabama",15750,29409,14995,34679
33,"Henry County, Alabama",17275,40680,17110,45569
34,"Houston County, Alabama",101459,41828,104108,42803
35,"Jackson County, Alabama",53279,37059,52326,39281
36,"Jefferson County, Alabama",658464,45415,659460,49321
37,"Lamar County, Alabama",14513,35271,14021,36016
38,"Lauderdale County, Alabama",92528,40701,92590,44888
39,"Lawrence County, Alabama",34148,39526,33288,43779
40,"Lee County, Alabama",140938,43189,156597,47564
41,"Limestone County, Alabama",83313,48197,91695,52831
42,"Lowndes County, Alabama",11304,28023,10362,29785
43,"Macon County, Alabama",21214,27957,19358,32308
44,"Madison County, Alabama",334661,58242,353213,61318
45,"Marengo County, Alabama",20909,34515,19743,32255
46,"Logan County, Colorado",22541,41369,21885,44876
47,"Mesa County, Colorado",146562,51029,148798,51971
48,"Mineral County, Colorado",702,52750,834,50385
49,"Moffat County, Colorado",13547,51008,13056,53010
50,"Montezuma County, Colorado",25424,44102,25770,45645
51,"Montrose County, Colorado",40994,47139,40908,44865
52,"Morgan County, Colorado",28200,42829,28123,51456
53,"Otero County, Colorado",18791,31860,18325,35051
54,"Ouray County, Colorado",4445,66474,4653,61333
55,"Park County, Colorado",16168,62594,16900,61644
56,"Phillips County, Colorado",4380,45339,4327,50076
57,"Pitkin County, Colorado",17000,68621,17747,67755
58,"Prowers County, Colorado",12539,33671,12084,41740
59,"Pueblo County, Colorado",159072,41820,163368,42386
60,"Rio Blanco County, Colorado",6728,58393,6557,57991
61,"Rio Grande County, Colorado",11925,38329,11430,38534
62,"Routt County, Colorado",23385,65041,24359,67472
63,"Saguache County, Colorado",6189,32429,6338,34765
64,"San Juan County, Colorado",747,37330,569,46397
65,"San Miguel County, Colorado",7432,63766,7804,62243
66,"Sedgwick County, Colorado",2389,38401,2357,49583
67,"Summit County, Colorado",27753,64680,29722,73538
68,"Teller County, Colorado",23163,57970,23769,66809
69,"Washington County, Colorado",4796,43925,4809,51458
70,"Weld County, Colorado",253552,56589,285729,66489
71,"Yuma County, Colorado",10032,45033,10109,44668
72,"Fairfield County, Connecticut",918892,82614,947328,89773
73,"Hartford County, Connecticut",893504,64752,897417,69936
74,"Litchfield County, Connecticut",189277,71345,184454,76438
75,"Middlesex County, Connecticut",165639,76659,164110,81673
76,"New Haven County, Connecticut",860995,62234,862127,64872
77,"New London County, Connecticut",273723,68310,270772,69411
78,"Tolland County, Connecticut",152137,80887,151596,81312
79,"Windham County, Connecticut",118046,58489,116674,62553
80,"Kent County, Delaware",162785,55786,173145,57647
81,"New Castle County, Delaware",539665,64670,555036,68336
82,"Sussex County, Delaware",197681,52692,215551,57901
83,"District of Columbia, District of Columbia",605759,64267,672391,77649
84,"Alachua County, Florida",247973,42818,259865,45478
85,"Baker County, Florida",27010,47149,27537,59506
86,"Bay County, Florida",168957,47364,180117,50283
87,"Bradford County, Florida",28404,39082,26775,46106
88,"Brevard County, Florida",544019,49099,568183,51536
89,"Broward County, Florida",1761993,51603,1890416,54895
90,"Calhoun County, Florida",14639,32480,14458,36237
91,"Charlotte County, Florida",160380,44596,173236,46511
92,"Citrus County, Florida",140805,39034,141373,40574
93,"Clay County, Florida",190891,59649,203291,61971
94,"Collier County, Florida",323548,56104,356774,62407
95,"Columbia County, Florida",67546,37534,68484,43504
96,"DeSoto County, Florida",34628,35683,35675,35435
97,"Dixie County, Florida",16301,35476,16323,35910
98,"Duval County, Florida",866431,48906,912043,51296
99,"Escambia County, Florida",298864,43806,309924,47361
100,"Flagler County, Florida",95987,48134,105015,51049
101,"Franklin County, Florida",11545,37428,11675,41267
102,"Gadsden County, Florida",46823,35593,46113,39830
103,"Gilchrist County, Florida",16880,36521,17191,42934
104,"Glades County, Florida",12952,35219,13197,37385
105,"Gulf County, Florida",15796,39535,16018,44647
106,"Hamilton County, Florida",14728,36875,14238,36209
107,"Hardee County, Florida",27347,36115,27326,39063
108,"Hendry County, Florida",38669,35736,39064,37966
109,"Hernando County, Florida",172784,41098,179144,44324
110,"Highlands County, Florida",98734,35350,100177,36374
111,"Hillsborough County, Florida",1238365,49450,1351087,53742
112,"Holmes County, Florida",19971,34928,19483,37474
113,"Indian River County, Florida",138203,45274,147981,49009
114,"Jackson County, Florida",49589,38917,48571,36944
115,"Jefferson County, Florida",14564,41163,14085,47599
116,"Lafayette County, Florida",8668,44180,8684,41512
117,"Lake County, Florida",297995,45663,326215,49734
118,"Lee County, Florida",624155,48453,700165,52052
119,"Leon County, Florida",276506,45915,285890,49941
120,"Levy County, Florida",40541,35093,39713,36554
121,"Liberty County, Florida",8300,39225,8347,36741
122,"Madison County, Florida",19187,34361,18518,31816
123,"Manatee County, Florida",324834,47910,363542,53408
124,"Marion County, Florida",331987,39770,343778,41964
125,"Martin County, Florida",146497,50573,155719,55588
126,"Miami-Dade County, Florida",2512219,43464,2702602,46338
127,"Monroe County, Florida",73475,53418,76745,63030
128,"Nassau County, Florida",73303,57163,78435,64294
129,"Okaloosa County, Florida",183400,54118,197591,59955
130,"Okeechobee County, Florida",39779,34289,40228,39059
131,"Orange County, Florida",1153795,48429,1290216,51586
132,"Osceola County, Florida",272355,44887,325168,47343
133,"Palm Beach County, Florida",1324085,52806,1426772,57256
134,"Pasco County, Florida",465276,43787,498136,48289
135,"Pinellas County, Florida",917389,46051,949842,48968
136,"Polk County, Florida",604562,43606,652256,45988
137,"Putnam County, Florida",74224,34429,72435,33619
138,"St. Johns County, Florida",191495,64346,226578,73640
139,"St. Lucie County, Florida",278246,43923,298763,47132
140,"Santa Rosa County, Florida",153086,57491,166778,62731
141,"Sarasota County, Florida",380479,48900,404839,55236
142,"Seminole County, Florida",423389,58577,449260,60739
143,"Sumter County, Florida",94240,46981,116754,54771
144,"Suwannee County, Florida",42287,36159,43814,40600
145,"Taylor County, Florida",22561,34634,22350,37188
146,"Union County, Florida",15400,43750,15300,37460
147,"Volusia County, Florida",495581,43419,518660,43838
148,"Wakulla County, Florida",30449,53385,31586,57866
149,"Walton County, Florida",55349,44254,63457,50619
150,"Washington County, Florida",24732,38536,24472,36989
151,"Appling County, Georgia",18279,35875,18471,37089
152,"Atkinson County, Georgia",8355,28682,8313,33063
153,"Bacon County, Georgia",11124,33557,11279,38824
154,"Baker County, Georgia",3483,24219,3251,43867
155,"Baldwin County, Georgia",46378,35278,45527,37008
156,"Banks County, Georgia",18250,40162,18363,42182
157,"Barrow County, Georgia",69136,51202,75099,56119
158,"Bartow County, Georgia",99872,49543,102623,52393
159,"Ben Hill County, Georgia",17612,29162,17272,32344
160,"Berrien County, Georgia",19131,31506,19014,38297
161,"Bibb County, Georgia",155560,37920,153923,38183
162,"Bleckley County, Georgia",13009,37853,12779,40688
163,"Brantley County, Georgia",18279,37374,18411,36812
164,"Brooks County, Georgia",16066,35284,15629,34890
165,"Bryan County, Georgia",30616,63818,34883,68589
166,"Bulloch County, Georgia",70360,34403,73742,39305
167,"Burke County, Georgia",23242,31597,22645,38707
168,"Butts County, Georgia",23671,50722,23556,39655
169,"Calhoun County, Georgia",6581,30042,6503,29617
170,"Camden County, Georgia",50435,54155,52252,53687
171,"Candler County, Georgia",11007,35833,10894,33125
172,"Carroll County, Georgia",110750,46704,114898,46844
173,"Catoosa County, Georgia",64226,46143,65870,54537
174,"Charlton County, Georgia",12954,39511,12963,43257
175,"Chatham County, Georgia",266344,45653,285506,52215
176,"Chattahoochee County, Georgia",11917,48684,11096,46096
177,"Chattooga County, Georgia",25905,32825,24880,35718
178,"Cherokee County, Georgia",215014,67928,235896,75477
179,"Clarke County, Georgia",117762,33846,123554,34557
180,"Clay County, Georgia",3174,22582,3024,23315
181,"Clayton County, Georgia",262066,42569,274150,44106
182,"Clinch County, Georgia",6800,33967,6788,21838
183,"Cobb County, Georgia",691820,65180,739072,72004
184,"Coffee County, Georgia",42566,35583,43048,36572
185,"Colquitt County, Georgia",45531,33186,45890,34503
186,"Columbia County, Georgia",124665,67295,143723,74162
187,"Cook County, Georgia",17073,35983,17190,35539
188,"Coweta County, Georgia",127212,60675,138015,67570
189,"Crawford County, Georgia",12701,39403,12385,41032
