,Unnamed: 0,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income,Pop Growth,Income Growth,Pop Growth %,Income Growth %,Population Rank,Income Rank,Total Score
3,63,"Grand Rapids-Wyoming, MI ",777159,50491,1039182,58094,262023,7603,25.214351287839857,15.058129171535523,163.0,161.0,324.0
6,105,"Huntington-Ashland, WV-KY-OH ",287234,38797,360603,44315,73369,5518,20.346197896301472,14.222749181637756,160.0,158.0,318.0
10,588,"Nashville-Davidson--Murfreesboro--Franklin, TN ",1595454,52779,1830410,59365,234956,6586,12.836249801956939,12.478447867523068,156.0,153.0,309.0
13,67,"Greeley, CO ",253552,56589,285729,66489,32177,9900,11.261370039442967,17.494566081747337,153.0,165.0,318.0
17,672,"Provo-Orem, UT ",526804,59594,587190,66742,60386,7148,10.283894480491835,11.994496090210424,149.0,146.0,295.0
19,465,"Fargo, ND-MN ",209177,51411,232660,59074,23483,7663,10.093269148113126,14.9053704460135,147.0,160.0,307.0
22,470,"Fayetteville-Springdale-Rogers, AR-MO ",464729,46428,514166,52551,49437,6123,9.614988155576215,13.188162315843888,144.0,156.0,300.0
25,515,"Tuscaloosa, AL ",219071,41557,239589,48344,20518,6787,8.563832229359445,16.331785258801165,141.0,163.0,304.0
27,379,"College Station-Bryan, TX ",227843,38599,248554,45078,20711,6479,8.33259573372386,16.785408948418354,139.0,164.0,303.0
33,731,"Seattle-Tacoma-Bellevue, WA ",3453748,67437,3735216,77269,281468,9832,7.5355213727934345,14.579533490517074,133.0,159.0,292.0
