,Unnamed: 0,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income,Pop Growth,Income Growth,Pop Growth %,Income Growth %,Population Rank,Income Rank,Total Score
0,158,"Lafayette, LA ",273945,48185,487633,49514,213688,1329,43.821480498653706,2.758119746809173,166.0,9.0,175.0
1,403,"Crestview-Fort Walton Beach-Destin, FL ",183400,54118,261048,57421,77648,3303,29.744721277312987,6.103329760892864,165.0,45.0,210.0
2,568,"Winston-Salem, NC ",478029,45356,658195,47099,180166,1743,27.37273908188303,3.842931475438751,164.0,16.0,180.0
3,63,"Grand Rapids-Wyoming, MI ",777159,50491,1039182,58094,262023,7603,25.214351287839857,15.058129171535523,163.0,161.0,324.0
4,660,"Ponce, PR ",242280,17225,316625,16736,74345,-489,23.480457954994076,-2.8388969521044993,162.0,1.0,163.0
5,418,"Deltona-Daytona Beach-Ormond Beach, FL ",495581,43419,623675,45016,128094,1597,20.53858179340201,3.6781132683848083,161.0,14.0,175.0
6,105,"Huntington-Ashland, WV-KY-OH ",287234,38797,360603,44315,73369,5518,20.346197896301472,14.222749181637756,160.0,158.0,318.0
7,155,"Knoxville, TN ",699097,46422,862490,49820,163393,3398,18.94433558649955,7.319805264745163,159.0,82.0,241.0
8,611,"Ogden-Clearfield, UT ",547089,62637,642274,68558,95185,5921,14.819998941261828,9.45287928859939,158.0,114.0,272.0
9,693,"Rochester, MN ",186214,65145,214485,69003,28271,3858,13.180875119472224,5.922173612710108,157.0,41.0,198.0
