Category: All categories

Week,Five Guys: (United States)
2017-09-24,73
2017-10-01,75
2017-10-08,75
2017-10-15,79
2017-10-22,77
2017-10-29,76
2017-11-05,75
2017-11-12,71
2017-11-19,73
2017-11-26,70
2017-12-03,73
2017-12-10,74
2017-12-17,82
2017-12-24,86
2017-12-31,84
2018-01-07,74
2018-01-14,75
2018-01-21,77
2018-01-28,75
2018-02-04,74
2018-02-11,82
2018-02-18,89
2018-02-25,83
2018-03-04,85
2018-03-11,85
2018-03-18,85
2018-03-25,92
2018-04-01,90
2018-04-08,82
2018-04-15,82
2018-04-22,80
2018-04-29,81
2018-05-06,80
2018-05-13,78
2018-05-20,88
2018-05-27,90
2018-06-03,85
2018-06-10,90
2018-06-17,86
2018-06-24,90
2018-07-01,97
2018-07-08,83
2018-07-15,88
2018-07-22,87
2018-07-29,86
2018-08-05,87
2018-08-12,85
2018-08-19,89
2018-08-26,83
2018-09-02,79
2018-09-09,76
2018-09-16,86
2018-09-23,80
2018-09-30,78
2018-10-07,81
2018-10-14,84
2018-10-21,78
2018-10-28,80
2018-11-04,78
2018-11-11,78
2018-11-18,80
2018-11-25,78
2018-12-02,80
2018-12-09,84
2018-12-16,85
2018-12-23,99
2018-12-30,99
2019-01-06,78
2019-01-13,84
2019-01-20,81
2019-01-27,81
2019-02-03,82
2019-02-10,94
2019-02-17,93
2019-02-24,89
2019-03-03,88
2019-03-10,92
2019-03-17,89
2019-03-24,94
2019-03-31,91
2019-04-07,87
2019-04-14,91
2019-04-21,94
2019-04-28,89
2019-05-05,86
2019-05-12,88
2019-05-19,93
2019-05-26,100
2019-06-02,88
2019-06-09,95
2019-06-16,91
2019-06-23,92
2019-06-30,98
2019-07-07,85
2019-07-14,94
2019-07-21,95
2019-07-28,92
2019-08-04,92
2019-08-11,89
2019-08-18,82
2019-08-25,84
2019-09-01,77
2019-09-08,76
2019-09-15,80
2019-09-22,82
