Category: All categories

Week,Panera Bread: (United States)
2017-09-24,88
2017-10-01,87
2017-10-08,91
2017-10-15,90
2017-10-22,91
2017-10-29,90
2017-11-05,97
2017-11-12,90
2017-11-19,76
2017-11-26,82
2017-12-03,88
2017-12-10,88
2017-12-17,92
2017-12-24,88
2017-12-31,92
2018-01-07,89
2018-01-14,91
2018-01-21,91
2018-01-28,95
2018-02-04,83
2018-02-11,86
2018-02-18,90
2018-02-25,90
2018-03-04,87
2018-03-11,86
2018-03-18,91
2018-03-25,88
2018-04-01,93
2018-04-08,84
2018-04-15,89
2018-04-22,91
2018-04-29,89
2018-05-06,90
2018-05-13,90
2018-05-20,89
2018-05-27,87
2018-06-03,90
2018-06-10,89
2018-06-17,86
2018-06-24,88
2018-07-01,83
2018-07-08,90
2018-07-15,91
2018-07-22,90
2018-07-29,97
2018-08-05,95
2018-08-12,92
2018-08-19,88
2018-08-26,85
2018-09-02,85
2018-09-09,88
2018-09-16,91
2018-09-23,95
2018-09-30,92
2018-10-07,96
2018-10-14,100
2018-10-21,95
2018-10-28,91
2018-11-04,93
2018-11-11,96
2018-11-18,77
2018-11-25,89
2018-12-02,93
2018-12-09,96
2018-12-16,97
2018-12-23,88
2018-12-30,98
2019-01-06,97
2019-01-13,94
2019-01-20,99
2019-01-27,98
2019-02-03,91
2019-02-10,93
2019-02-17,98
2019-02-24,95
2019-03-03,91
2019-03-10,89
2019-03-17,89
2019-03-24,91
2019-03-31,90
2019-04-07,88
2019-04-14,90
2019-04-21,91
2019-04-28,91
2019-05-05,88
2019-05-12,91
2019-05-19,91
2019-05-26,85
2019-06-02,89
2019-06-09,88
2019-06-16,88
2019-06-23,92
2019-06-30,82
2019-07-07,88
2019-07-14,90
2019-07-21,91
2019-07-28,89
2019-08-04,90
2019-08-11,91
2019-08-18,86
2019-08-25,82
2019-09-01,77
2019-09-08,84
2019-09-15,87
2019-09-22,90
