,Region,Chipotle,Five Guys,Halal Guys,McDonalds,Panera bread,Shake Shack,Taco Bell,Texas Roadhouse
0,Alabama,21,54,0,80,76,12,87,38
1,Alaska,9,7,0,59,4,4,55,50
2,Arizona,59,45,31,78,49,25,75,61
3,Arkansas,17,28,0,90,41,8,90,44
4,California,46,35,57,64,43,30,58,13
5,Colorado,54,44,4,64,66,20,68,61
6,Connecticut,34,72,37,61,89,46,40,36
7,Delaware,37,71,0,72,88,43,49,80
8,District of Columbia,83,100,64,74,74,99,43,38
9,Florida,48,64,17,78,85,27,66,37
10,Georgia,33,60,22,81,79,22,72,36
11,Hawaii,13,28,0,84,8,11,52,3
12,Idaho,19,37,0,62,36,5,78,69
13,Illinois,56,44,41,99,60,37,68,41
14,Indiana,32,56,0,96,58,8,100,85
15,Iowa,19,30,0,76,41,5,48,74
16,Kansas,55,47,0,75,43,12,69,56
17,Kentucky,28,38,0,100,64,13,94,100
18,Louisiana,16,52,52,84,44,11,85,64
19,Maine,27,65,0,63,38,6,26,38
20,Maryland,78,98,44,73,81,45,52,50
21,Massachusetts,42,70,29,58,64,42,32,35
22,Michigan,34,61,6,94,78,20,99,46
23,Minnesota,72,47,3,75,37,16,59,29
24,Mississippi,9,43,0,85,29,5,84,27
25,Missouri,45,48,3,90,63,29,93,63
26,Montana,16,55,0,63,10,3,56,22
27,Nebraska,36,36,0,76,49,5,71,67
28,Nevada,39,41,45,75,42,69,72,19
29,New Hampshire,31,80,0,58,50,10,32,40
30,New Jersey,45,55,100,55,82,49,42,23
31,New Mexico,24,38,0,77,38,9,62,55
32,New York,45,53,87,60,54,100,38,24
33,North Carolina,34,48,4,81,100,15,67,47
34,North Dakota,16,45,0,72,45,3,53,67
35,Ohio,100,57,3,98,63,17,99,73
36,Oklahoma,25,36,3,83,91,8,78,58
37,Oregon,30,40,2,54,25,6,62,8
38,Pennsylvania,43,54,25,70,81,29,48,54
39,Rhode Island,37,71,0,58,89,26,50,52
40,South Carolina,25,61,0,79,71,8,66,49
41,South Dakota,8,39,0,69,38,3,58,60
42,Tennessee,24,54,8,84,81,14,92,51
43,Texas,39,34,49,71,54,22,62,56
44,Utah,22,50,0,65,10,18,54,83
45,Vermont,19,50,0,53,40,8,19,26
46,Virginia,53,72,42,62,64,24,54,36
47,Washington,32,42,19,66,39,18,55,8
48,West Virginia,22,43,0,96,54,4,90,68
49,Wisconsin,24,35,13,89,51,14,74,52
50,Wyoming,14,28,0,67,14,4,54,63
