,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
0,"Aberdeen, SD Micro Area",40612,49652,42608,54533
1,"Aberdeen, WA Micro Area",72272,42440,71454,45483
2,"Abilene, TX Metro Area",165083,44007,169000,48156
3,"Ada, OK Micro Area",37438,40680,38289,46689
4,"Adjuntas, PR Micro Area",19458,13095,18525,11680
5,"Adrian, MI Micro Area",99878,48528,98585,51339
6,"Akron, OH Metro Area",702966,49936,703398,53418
7,"Alamogordo, NM Micro Area",64176,39054,65130,43533
8,"Albany, GA Metro Area",157634,36216,153776,40612
9,"Albany-Schenectady-Troy, NY Metro Area",870890,60841,881862,65743
10,"Albemarle, NC Micro Area",60489,43256,60875,46017
11,"Albert Lea, MN Micro Area",31188,43962,30619,51174
12,"Albertville, AL Micro Area",93070,38649,94738,41104
13,"Albuquerque, NM Metro Area",885683,48990,905049,50781
14,"Alexander City, AL Micro Area",52839,38300,40756,42181
15,"Alexandria, LA Metro Area",153704,40625,154385,42275
16,"Alexandria, MN Micro Area",36167,50365,36891,58667
17,"Alice, TX Micro Area",41014,40723,41318,41103
18,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821273,58111,832790,62479
19,"Alma, MI Micro Area",42340,40224,41319,42256
20,"Alpena, MI Micro Area",29602,38900,28730,40954
21,"Altoona, PA Metro Area",127133,42687,124736,45664
22,"Altus, OK Micro Area",26275,41563,25574,45189
23,"Amarillo, TX Metro Area",250224,47866,261827,53665
24,"Americus, GA Micro Area",37388,34205,35855,35189
25,"Ames, IA Metro Area",89734,49683,95888,52671
26,"Amsterdam, NY Micro Area",50025,42830,49500,47449
27,"Anchorage, AK Metro Area",380789,75196,399360,80724
28,"Andrews, TX Micro Area",15006,55327,17577,70753
29,"Angola, IN Micro Area",34116,48291,34459,52749
30,"Ann Arbor, MI Metro Area",346010,59063,361509,65618
31,"Appleton, WI Metro Area",225737,59154,233025,63415
32,"Arcadia, FL Micro Area",34628,35683,35675,35435
33,"Ardmore, OK Micro Area",57007,41160,48407,47754
34,"Arkadelphia, AR Micro Area",23050,32393,22495,37144
35,"Asheville, NC Metro Area",425219,44249,445625,48159
36,"Ashland, OH Micro Area",53203,44996,53299,50893
37,"Ashtabula, OH Micro Area",101262,41075,98622,43017
38,"Astoria, OR Micro Area",37068,44330,38021,49828
39,"Atchison, KS Micro Area",16854,45666,16466,46640
40,"Athens, OH Micro Area",64592,33836,65563,37191
41,"Athens, TN Micro Area",52325,38944,52569,39990
42,"Athens, TX Micro Area",78558,41100,79687,44888
43,"Athens-Clarke County, GA Metro Area",193309,41035,202780,42418
44,"Atlantic City-Hammonton, NJ Metro Area",274402,54559,272926,57514
45,"Auburn, IN Micro Area",42218,46065,42524,51374
46,"Auburn, NY Micro Area",79996,50950,78319,54664
47,"Auburn-Opelika, AL Metro Area",140938,43189,156597,47564
48,"Gainesville, FL Metro Area",264853,42311,277056,45323
49,"Gainesville, GA Metro Area",180831,52174,192865,55622
50,"Gainesville, TX Micro Area",38427,49735,39064,60027
51,"Galesburg, IL Micro Area",70421,40560,51374,41972
52,"Gallup, NM Micro Area",71888,30780,72849,30336
53,"Garden City, KS Micro Area",36608,49617,41028,51671
54,"Gardnerville Ranchos, NV Micro Area",47056,61099,47632,61176
55,"Georgetown, SC Micro Area",60285,42472,61065,46967
56,"Gillette, WY Micro Area",45840,77090,48116,80178
57,"Glasgow, KY Micro Area",52303,36767,53408,39117
58,"Glens Falls, NY Metro Area",128808,52908,126884,56608
59,"Gloversville, NY Micro Area",55358,45333,53955,48033
